Country,Continent,Status_of_country,Happiness_score,Standard_error_of_ladder_score,Population,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption
Finland,Europe,Developed,7.804,0.036,5502365,51750,0.969,71.15,0.961,-0.019,0.182
Denmark,Europe,Developed,7.586,0.041,5802364,60790,0.954,71.25,0.934,0.134,0.196
Iceland,Europe,Developed,7.53,0.049,353547,67210,0.983,72.05,0.936,0.211,0.668
Israel,Asia,Developed,7.473,0.032,9304858,42990,0.943,72.697,0.809,-0.023,0.708
Netherlands,Europe,Developed,7.403,0.029,17501256,56390,0.93,71.55,0.887,0.213,0.379
Sweden,Europe,Developed,7.395,0.037,10407854,57850,0.939,72.15,0.948,0.165,0.202
Greenland,North America,Developed,7.322,0.045,56653,54571,0.895,73.25,0.856,0.201,0.785
Norway,Europe,Developed,7.315,0.044,5405458,83910,0.943,71.5,0.947,0.141,0.283
Switzerland,Europe,Developed,7.24,0.043,8678545,83580,0.92,72.9,0.891,0.027,0.266
Luxembourg,Europe,Developed,7.228,0.069,636565,115700,0.879,71.675,0.915,0.024,0.345
New Zealand,Oceania,Developed,7.123,0.038,5102256,46470,0.952,70.35,0.887,0.175,0.271
Austria,Europe,Developed,7.097,0.04,8902223,49800,0.888,71.15,0.855,0.102,0.497
Australia,Oceania,Developed,7.095,0.044,25702569,51600,0.934,71.05,0.89,0.198,0.496
Canada,North America,Developed,6.961,0.042,38107854,46240,0.929,71.4,0.874,0.153,0.42
Ireland,Europe,Developed,6.911,0.044,4904555,82440,0.905,71.3,0.874,0.092,0.358
United States of America,North America,Developed,6.894,0.047,331008955,63420,0.919,65.85,0.8,0.137,0.689
Germany,Europe,Developed,6.892,0.049,83204585,47190,0.896,71.3,0.846,0.03,0.42
Belgium,Europe,Developed,6.859,0.034,11504585,46800,0.915,70.899,0.825,0.001,0.549
Czechia,Europe,Developed,6.845,0.044,10704458,23760,0.953,69.05,0.903,0.04,0.859
United Kingdom,Europe,Developed,6.796,0.042,68005565,43620,0.882,70.3,0.852,0.253,0.454
Lithuania,Europe,Developed,6.763,0.044,2800336,19520,0.939,67.397,0.748,-0.145,0.805
France,Europe,Developed,6.661,0.038,67400256,42670,0.909,72.3,0.819,-0.1,0.553
Slovenia,Europe,Developed,6.65,0.051,2100585,26170,0.951,71.052,0.913,0.014,0.771
Costa Rica,North America,Developing,6.609,0.052,5100448,11100,0.872,70,0.895,-0.07,0.768
Romania,Europe,Developing,6.589,0.052,19200336,11430,0.848,67.051,0.856,-0.172,0.929
Singapore,Asia,Developed,6.587,0.068,5800458,59520,0.878,73.8,0.878,0.063,0.146
